,id,order_id,line_number,quantity,unit_price_order_items,discount_amount,tax_amount,sku,product_name,brand,unit_price,unit_cost,active_from,active_to,created_at_x,category_name,quantity_on_hand,last_updated_at,warehouse_name,city,province,country_code,order_status,order_date,currency_orders,shipping_amount,order_subtotal,order_discount,order_tax,order_total,created_at_y,payment_method,amount,currency_payments,payment_status,paid_at,carrier,service_level,shipped_at,delivered_at,shipping_cost,tracking_number,first_name,last_name,email,phone,gender,birth_date,created_at_customers,marketing_opt_in,address_type_billing,street_billing,city_billing,province_billing,country_code_billing,postal_code_billing,created_at_billing,is_primary_billing,address_type_shipping,street_shipping,city_shipping,province_shipping,country_code_shipping,postal_code_shipping,created_at_shipping,is_primary_shipping,channel_name_orders,description_orders,utm_source_order_marketing,utm_medium_order_marketing,utm_campaign_order_marketing,utm_content_order_marketing,utm_term_order_marketing,channel_name,description,campaign_name_campaigns,utm_source_campaigns,utm_medium_campaigns,utm_campaign_campaigns,start_date_campaigns,end_date_campaigns,budget_ars_campaigns
10,11,100002,2,2,5514.12,220.56,2269.61,SKU-00045,Andina Botas 045,Andina,5514.12,4095.78,2025-06-13,,2025-06-13 09:32:15,Botas,25,2025-08-31 12:00:00,CABA Central,CABA,CABA,AR,delivered,2025-07-22 13:53:32,ARS,0.0,791961.63,42047.78,157481.91,907395.76,2025-07-22 13:53:32,debit_card,907395.76,ARS,captured,2025-07-24 02:53:32,Andreani,Estándar,2025-07-24 13:53:32,2025-07-26 13:53:32,0.0,DX6911888696,Camila,Álvarez,camila.alvarez@example.com,+54 9 0568-2785-259,F,1998-05-08,2024-08-08 07:22:49,True,billing,Calle San Martín 7691,Salta,Santa Fe,AR,5341.0,2024-08-08 07:22:49,True,shipping,Lavalle 2078,Mendoza,Neuquén,AR,9780,2024-08-08 07:22:49,True,Marketplace,Marketplace externo,meta,social,retargeting_jul_2025,remarketing,remeras,Marketplace,Marketplace externo,Retargeting Julio 2025 - Marketplace,meta,social,retargeting_jul_2025,2025-08-16,2025-09-02,2997894.66
11,12,100002,2,2,5514.12,220.56,2269.61,SKU-00045,Andina Botas 045,Andina,5514.12,4095.78,2025-06-13,,2025-06-13 09:32:15,Botas,179,2025-08-31 12:00:00,Córdoba Norte,Córdoba,Córdoba,AR,delivered,2025-07-22 13:53:32,ARS,0.0,791961.63,42047.78,157481.91,907395.76,2025-07-22 13:53:32,debit_card,907395.76,ARS,captured,2025-07-24 02:53:32,Andreani,Estándar,2025-07-24 13:53:32,2025-07-26 13:53:32,0.0,DX6911888696,Camila,Álvarez,camila.alvarez@example.com,+54 9 0568-2785-259,F,1998-05-08,2024-08-08 07:22:49,True,billing,Calle San Martín 7691,Salta,Santa Fe,AR,5341.0,2024-08-08 07:22:49,True,shipping,Lavalle 2078,Mendoza,Neuquén,AR,9780,2024-08-08 07:22:49,True,Marketplace,Marketplace externo,meta,social,retargeting_jul_2025,remarketing,remeras,Marketplace,Marketplace externo,Retargeting Julio 2025 - Marketplace,meta,social,retargeting_jul_2025,2025-08-16,2025-09-02,2997894.66
12,13,100002,3,3,146549.87,30775.47,85863.57,SKU-00049,Sur Zapatillas 049,Sur,146549.87,110307.05,2025-04-16,,2025-04-16 00:54:08,Zapatillas,55,2025-08-31 12:00:00,CABA Central,CABA,CABA,AR,delivered,2025-07-22 13:53:32,ARS,0.0,791961.63,42047.78,157481.91,907395.76,2025-07-22 13:53:32,debit_card,907395.76,ARS,captured,2025-07-24 02:53:32,Andreani,Estándar,2025-07-24 13:53:32,2025-07-26 13:53:32,0.0,DX6911888696,Camila,Álvarez,camila.alvarez@example.com,+54 9 0568-2785-259,F,1998-05-08,2024-08-08 07:22:49,True,billing,Calle San Martín 7691,Salta,Santa Fe,AR,5341.0,2024-08-08 07:22:49,True,shipping,Lavalle 2078,Mendoza,Neuquén,AR,9780,2024-08-08 07:22:49,True,Marketplace,Marketplace externo,meta,social,retargeting_jul_2025,remarketing,remeras,Marketplace,Marketplace externo,Retargeting Julio 2025 - Marketplace,meta,social,retargeting_jul_2025,2025-08-16,2025-09-02,2997894.66
13,14,100002,3,3,146549.87,30775.47,85863.57,SKU-00049,Sur Zapatillas 049,Sur,146549.87,110307.05,2025-04-16,,2025-04-16 00:54:08,Zapatillas,110,2025-08-31 12:00:00,Córdoba Norte,Córdoba,Córdoba,AR,delivered,2025-07-22 13:53:32,ARS,0.0,791961.63,42047.78,157481.91,907395.76,2025-07-22 13:53:32,debit_card,907395.76,ARS,captured,2025-07-24 02:53:32,Andreani,Estándar,2025-07-24 13:53:32,2025-07-26 13:53:32,0.0,DX6911888696,Camila,Álvarez,camila.alvarez@example.com,+54 9 0568-2785-259,F,1998-05-08,2024-08-08 07:22:49,True,billing,Calle San Martín 7691,Salta,Santa Fe,AR,5341.0,2024-08-08 07:22:49,True,shipping,Lavalle 2078,Mendoza,Neuquén,AR,9780,2024-08-08 07:22:49,True,Marketplace,Marketplace externo,meta,social,retargeting_jul_2025,remarketing,remeras,Marketplace,Marketplace externo,Retargeting Julio 2025 - Marketplace,meta,social,retargeting_jul_2025,2025-08-16,2025-09-02,2997894.66
14,15,100002,4,2,149511.56,5980.46,61538.96,SKU-00093,Lago Mochilas 093,Lago,149511.56,102803.72,2025-04-01,,2025-04-01 16:31:13,Mochilas,46,2025-08-31 12:00:00,CABA Central,CABA,CABA,AR,delivered,2025-07-22 13:53:32,ARS,0.0,791961.63,42047.78,157481.91,907395.76,2025-07-22 13:53:32,debit_card,907395.76,ARS,captured,2025-07-24 02:53:32,Andreani,Estándar,2025-07-24 13:53:32,2025-07-26 13:53:32,0.0,DX6911888696,Camila,Álvarez,camila.alvarez@example.com,+54 9 0568-2785-259,F,1998-05-08,2024-08-08 07:22:49,True,billing,Calle San Martín 7691,Salta,Santa Fe,AR,5341.0,2024-08-08 07:22:49,True,shipping,Lavalle 2078,Mendoza,Neuquén,AR,9780,2024-08-08 07:22:49,True,Marketplace,Marketplace externo,meta,social,retargeting_jul_2025,remarketing,remeras,Marketplace,Marketplace externo,Retargeting Julio 2025 - Marketplace,meta,social,retargeting_jul_2025,2025-08-16,2025-09-02,2997894.66
15,16,100002,4,2,149511.56,5980.46,61538.96,SKU-00093,Lago Mochilas 093,Lago,149511.56,102803.72,2025-04-01,,2025-04-01 16:31:13,Mochilas,36,2025-08-31 12:00:00,Córdoba Norte,Córdoba,Córdoba,AR,delivered,2025-07-22 13:53:32,ARS,0.0,791961.63,42047.78,157481.91,907395.76,2025-07-22 13:53:32,debit_card,907395.76,ARS,captured,2025-07-24 02:53:32,Andreani,Estándar,2025-07-24 13:53:32,2025-07-26 13:53:32,0.0,DX6911888696,Camila,Álvarez,camila.alvarez@example.com,+54 9 0568-2785-259,F,1998-05-08,2024-08-08 07:22:49,True,billing,Calle San Martín 7691,Salta,Santa Fe,AR,5341.0,2024-08-08 07:22:49,True,shipping,Lavalle 2078,Mendoza,Neuquén,AR,9780,2024-08-08 07:22:49,True,Marketplace,Marketplace externo,meta,social,retargeting_jul_2025,remarketing,remeras,Marketplace,Marketplace externo,Retargeting Julio 2025 - Marketplace,meta,social,retargeting_jul_2025,2025-08-16,2025-09-02,2997894.66
16,17,100003,1,2,69290.55,16629.73,25609.79,SKU-00148,Norte Mochilas 148,Norte,69290.55,54575.92,2025-04-03,2025-07-21,2025-04-03 03:37:02,Mochilas,43,2025-08-31 12:00:00,CABA Central,CABA,CABA,AR,paid,2025-07-25 22:00:42,ARS,0.0,138581.1,16629.73,25609.79,147561.16,2025-07-25 22:00:42,mercado_pago,147561.16,ARS,captured,2025-07-27 05:00:42,,,,,,,Sofía,Álvarez,sofia.alvarez.1@example.com,+54 9 0436-4361-642,F,1970-11-13,2025-07-13 11:11:46,True,billing,Lavalle 6202,Neuquén,Santa Fe,AR,8511.0,2025-07-13 11:11:46,True,shipping,Alsina 4684,Mar del Plata,Buenos Aires,AR,2524,2025-07-13 11:11:46,True,Marketplace,Marketplace externo,meta,social,nuevo_drop_ago_2025,remarketing,camperas,Marketplace,Marketplace externo,Nuevo Drop Agosto 2025 - Marketplace,meta,social,nuevo_drop_ago_2025,2025-07-27,2025-08-12,4801475.51
17,18,100003,1,2,69290.55,16629.73,25609.79,SKU-00148,Norte Mochilas 148,Norte,69290.55,54575.92,2025-04-03,2025-07-21,2025-04-03 03:37:02,Mochilas,158,2025-08-31 12:00:00,Córdoba Norte,Córdoba,Córdoba,AR,paid,2025-07-25 22:00:42,ARS,0.0,138581.1,16629.73,25609.79,147561.16,2025-07-25 22:00:42,mercado_pago,147561.16,ARS,captured,2025-07-27 05:00:42,,,,,,,Sofía,Álvarez,sofia.alvarez.1@example.com,+54 9 0436-4361-642,F,1970-11-13,2025-07-13 11:11:46,True,billing,Lavalle 6202,Neuquén,Santa Fe,AR,8511.0,2025-07-13 11:11:46,True,shipping,Alsina 4684,Mar del Plata,Buenos Aires,AR,2524,2025-07-13 11:11:46,True,Marketplace,Marketplace externo,meta,social,nuevo_drop_ago_2025,remarketing,camperas,Marketplace,Marketplace externo,Nuevo Drop Agosto 2025 - Marketplace,meta,social,nuevo_drop_ago_2025,2025-07-27,2025-08-12,4801475.51
18,19,100004,1,2,62730.25,15055.26,23185.1,SKU-00149,Andina Mochilas 149,Andina,62730.25,37478.32,2025-02-01,,2025-02-01 16:33:20,Mochilas,117,2025-08-31 12:00:00,CABA Central,CABA,CABA,AR,shipped,2025-08-30 13:25:10,ARS,0.0,125460.5,15055.26,23185.1,133590.34,2025-08-30 13:25:10,mercado_pago,79154.58,ARS,captured,2025-08-31 00:25:10,OCA,Estándar,2025-08-31 13:25:10,,0.0,GQ6665569504,Mateo,Torres,mateo.torres@example.com,+54 9 2511-5668-870,X,1993-11-24,2024-10-30 16:10:22,False,,,,,,,,,shipping,Av. Rivadavia 5170,Neuquén,Santa Fe,AR,8684,2024-10-30 16:10:22,True,Web,Tienda online desktop/mobile,email,email,newsletter,,camperas,Web,Tienda online desktop/mobile,,,,,,,
19,20,100004,1,2,62730.25,15055.26,23185.1,SKU-00149,Andina Mochilas 149,Andina,62730.25,37478.32,2025-02-01,,2025-02-01 16:33:20,Mochilas,117,2025-08-31 12:00:00,CABA Central,CABA,CABA,AR,shipped,2025-08-30 13:25:10,ARS,0.0,125460.5,15055.26,23185.1,133590.34,2025-08-30 13:25:10,bank_transfer,54435.76,ARS,captured,2025-08-31 04:54:10,OCA,Estándar,2025-08-31 13:25:10,,0.0,GQ6665569504,Mateo,Torres,mateo.torres@example.com,+54 9 2511-5668-870,X,1993-11-24,2024-10-30 16:10:22,False,,,,,,,,,shipping,Av. Rivadavia 5170,Neuquén,Santa Fe,AR,8684,2024-10-30 16:10:22,True,Web,Tienda online desktop/mobile,email,email,newsletter,,camperas,Web,Tienda online desktop/mobile,,,,,,,
20,21,100004,1,2,62730.25,15055.26,23185.1,SKU-00149,Andina Mochilas 149,Andina,62730.25,37478.32,2025-02-01,,2025-02-01 16:33:20,Mochilas,176,2025-08-31 12:00:00,Córdoba Norte,Córdoba,Córdoba,AR,shipped,2025-08-30 13:25:10,ARS,0.0,125460.5,15055.26,23185.1,133590.34,2025-08-30 13:25:10,mercado_pago,79154.58,ARS,captured,2025-08-31 00:25:10,OCA,Estándar,2025-08-31 13:25:10,,0.0,GQ6665569504,Mateo,Torres,mateo.torres@example.com,+54 9 2511-5668-870,X,1993-11-24,2024-10-30 16:10:22,False,,,,,,,,,shipping,Av. Rivadavia 5170,Neuquén,Santa Fe,AR,8684,2024-10-30 16:10:22,True,Web,Tienda online desktop/mobile,email,email,newsletter,,camperas,Web,Tienda online desktop/mobile,,,,,,,
21,22,100004,1,2,62730.25,15055.26,23185.1,SKU-00149,Andina Mochilas 149,Andina,62730.25,37478.32,2025-02-01,,2025-02-01 16:33:20,Mochilas,176,2025-08-31 12:00:00,Córdoba Norte,Córdoba,Córdoba,AR,shipped,2025-08-30 13:25:10,ARS,0.0,125460.5,15055.26,23185.1,133590.34,2025-08-30 13:25:10,bank_transfer,54435.76,ARS,captured,2025-08-31 04:54:10,OCA,Estándar,2025-08-31 13:25:10,,0.0,GQ6665569504,Mateo,Torres,mateo.torres@example.com,+54 9 2511-5668-870,X,1993-11-24,2024-10-30 16:10:22,False,,,,,,,,,shipping,Av. Rivadavia 5170,Neuquén,Santa Fe,AR,8684,2024-10-30 16:10:22,True,Web,Tienda online desktop/mobile,email,email,newsletter,,camperas,Web,Tienda online desktop/mobile,,,,,,,
22,23,100005,1,3,148480.89,44544.27,84188.66,SKU-00010,Estilo Gorras 010,Estilo,148480.89,105421.42,2025-05-23,,2025-05-23 07:59:45,Gorras,169,2025-08-31 12:00:00,CABA Central,CABA,CABA,AR,canceled,2025-07-08 10:31:47,ARS,0.0,823628.91,82362.89,155665.86,896931.88,2025-07-08 10:31:47,,,,,,,,,,,,Thiago,Martínez,thiago.martinez@example.com,+54 9 2434-1462-820,X,1985-10-11,2025-08-17 13:03:46,True,,,,,,,,,shipping,Av. Belgrano 9325,Comodoro Rivadavia,Entre Ríos,AR,4084,2025-08-17 13:03:46,True,Marketplace,Marketplace externo,meta,social,nuevo_drop_ago_2025,promo,mochilas,Marketplace,Marketplace externo,Nuevo Drop Agosto 2025 - Marketplace,meta,social,nuevo_drop_ago_2025,2025-07-27,2025-08-12,4801475.51
23,24,100005,1,3,148480.89,44544.27,84188.66,SKU-00010,Estilo Gorras 010,Estilo,148480.89,105421.42,2025-05-23,,2025-05-23 07:59:45,Gorras,6,2025-08-31 12:00:00,Córdoba Norte,Córdoba,Córdoba,AR,canceled,2025-07-08 10:31:47,ARS,0.0,823628.91,82362.89,155665.86,896931.88,2025-07-08 10:31:47,,,,,,,,,,,,Thiago,Martínez,thiago.martinez@example.com,+54 9 2434-1462-820,X,1985-10-11,2025-08-17 13:03:46,True,,,,,,,,,shipping,Av. Belgrano 9325,Comodoro Rivadavia,Entre Ríos,AR,4084,2025-08-17 13:03:46,True,Marketplace,Marketplace externo,meta,social,nuevo_drop_ago_2025,promo,mochilas,Marketplace,Marketplace externo,Nuevo Drop Agosto 2025 - Marketplace,meta,social,nuevo_drop_ago_2025,2025-07-27,2025-08-12,4801475.51
24,25,100005,2,3,126062.08,37818.62,71477.2,SKU-00078,Estilo Gorras 078,Estilo,126062.08,84156.11,2025-07-11,,2025-07-11 19:38:22,Gorras,89,2025-08-31 12:00:00,CABA Central,CABA,CABA,AR,canceled,2025-07-08 10:31:47,ARS,0.0,823628.91,82362.89,155665.86,896931.88,2025-07-08 10:31:47,,,,,,,,,,,,Thiago,Martínez,thiago.martinez@example.com,+54 9 2434-1462-820,X,1985-10-11,2025-08-17 13:03:46,True,,,,,,,,,shipping,Av. Belgrano 9325,Comodoro Rivadavia,Entre Ríos,AR,4084,2025-08-17 13:03:46,True,Marketplace,Marketplace externo,meta,social,nuevo_drop_ago_2025,promo,mochilas,Marketplace,Marketplace externo,Nuevo Drop Agosto 2025 - Marketplace,meta,social,nuevo_drop_ago_2025,2025-07-27,2025-08-12,4801475.51
25,26,100005,2,3,126062.08,37818.62,71477.2,SKU-00078,Estilo Gorras 078,Estilo,126062.08,84156.11,2025-07-11,,2025-07-11 19:38:22,Gorras,142,2025-08-31 12:00:00,Córdoba Norte,Córdoba,Córdoba,AR,canceled,2025-07-08 10:31:47,ARS,0.0,823628.91,82362.89,155665.86,896931.88,2025-07-08 10:31:47,,,,,,,,,,,,Thiago,Martínez,thiago.martinez@example.com,+54 9 2434-1462-820,X,1985-10-11,2025-08-17 13:03:46,True,,,,,,,,,shipping,Av. Belgrano 9325,Comodoro Rivadavia,Entre Ríos,AR,4084,2025-08-17 13:03:46,True,Marketplace,Marketplace externo,meta,social,nuevo_drop_ago_2025,promo,mochilas,Marketplace,Marketplace externo,Nuevo Drop Agosto 2025 - Marketplace,meta,social,nuevo_drop_ago_2025,2025-07-27,2025-08-12,4801475.51
